eegLowAlpha,eSenseMeditation,objectId,eegTheta,eegLowBeta,eegHighGamma,eegLowGamma,updatedAt,eegDelta,poorSignal,eegHighBeta,createdAt,eegHighAlpha,eSenseAttention
5996,74,pyXb3sT6vA,155375,30465,26182,18818,2014-08-03T19:09:09.505Z,877957,0,52372,2014-08-03T19:09:09.505Z,19501,54
0,0,nPikdvA7bB,0,0,0,0,2014-08-03T19:09:10.274Z,0,0,0,2014-08-03T19:09:10.274Z,0,0
0,0,VWnfFB08Q7,0,0,0,0,2014-08-03T19:09:10.436Z,0,0,0,2014-08-03T19:09:10.436Z,0,0
125009,69,EQQD0rbbFG,342495,126920,105043,76390,2014-08-03T19:09:10.627Z,1966189,0,63050,2014-08-03T19:09:10.627Z,158974,50
0,0,DC1Scdhxd5,0,0,0,0,2014-08-03T19:09:11.429Z,0,0,0,2014-08-03T19:09:11.429Z,0,0
11398,78,DNU7n6sZ6h,47111,4275,2285,1244,2014-08-03T19:09:11.612Z,117225,0,3517,2014-08-03T19:09:11.612Z,3306,50
113435,77,rgV6nAkfD9,138727,8066,28066,40069,2014-08-03T19:09:12.490Z,295115,0,35050,2014-08-03T19:09:12.490Z,24895,50
0,0,jVxc9CRliB,0,0,0,0,2014-08-03T19:09:12.859Z,0,0,0,2014-08-03T19:09:12.859Z,0,0
0,0,OkzaG7TygM,0,0,0,0,2014-08-03T19:09:13.167Z,0,0,0,2014-08-03T19:09:13.167Z,0,0
97718,88,D7SHtXl41n,465487,48611,9618,49977,2014-08-03T19:09:13.460Z,763242,0,47309,2014-08-03T19:09:13.460Z,88086,35
0,0,GUp2hSuv2N,0,0,0,0,2014-08-03T19:09:13.651Z,0,0,0,2014-08-03T19:09:13.651Z,0,0
0,0,ZcoS4UR8XG,0,0,0,0,2014-08-03T19:09:14.323Z,0,0,0,2014-08-03T19:09:14.323Z,0,0
0,0,trx6nVtrjJ,0,0,0,0,2014-08-03T19:09:14.482Z,0,0,0,2014-08-03T19:09:14.482Z,0,0
53744,96,m1p7tTY9Qs,41825,21288,23353,18426,2014-08-03T19:09:14.640Z,1052846,0,24431,2014-08-03T19:09:14.640Z,30243,40
0,0,qW4ogAdOrU,0,0,0,0,2014-08-03T19:09:15.009Z,0,0,0,2014-08-03T19:09:15.009Z,0,0
0,0,hMerhOJykT,0,0,0,0,2014-08-03T19:09:15.420Z,0,0,0,2014-08-03T19:09:15.420Z,0,0
46672,100,B5eQBlTFt0,175518,87854,31672,17440,2014-08-03T19:09:15.608Z,668621,0,63838,2014-08-03T19:09:15.608Z,69079,57
0,0,jh4lHKPaSP,0,0,0,0,2014-08-03T19:09:16.088Z,0,0,0,2014-08-03T19:09:16.088Z,0,0
16996,100,yMDvWvyO8a,262020,6768,12429,9627,2014-08-03T19:09:16.486Z,130722,26,7860,2014-08-03T19:09:16.486Z,2563,57
0,0,a5r1wHYrN5,0,0,0,0,2014-08-03T19:09:16.856Z,0,0,0,2014-08-03T19:09:16.856Z,0,0
0,0,U5VlL4DMCs,0,0,0,0,2014-08-03T19:09:17.003Z,0,0,0,2014-08-03T19:09:17.003Z,0,0
7746,84,386dcmRujH,571278,45453,24285,24015,2014-08-03T19:09:17.463Z,983003,0,105940,2014-08-03T19:09:17.463Z,118738,60
0,0,C3GEXUarBJ,0,0,0,0,2014-08-03T19:09:18.391Z,0,0,0,2014-08-03T19:09:18.391Z,0,0
